Image,Image Size,Video,Video Embed,Thumbnail,Link,Caption
images/gallery/1.jpg,1422x1200,#,#,images/gallery/thumbnails/1.png,#,Art
images/gallery/2.jpg,913x1200,#,#,images/gallery/thumbnails/2.png,#,Art
images/gallery/3.jpg,1473x1200,#,#,images/gallery/thumbnails/3.png,#,Art
images/gallery/4.jpg,1920x1138,#,#,images/gallery/thumbnails/4.png,#,Art
images/gallery/5.jpg,1479x1200,#,#,images/gallery/thumbnails/5.png,#,Art
images/gallery/6.jpg,904x1200,#,#,images/gallery/thumbnails/6.png,#,Art
images/gallery/7.jpg,903x1200,#,#,images/gallery/thumbnails/7.png,#,Art
images/gallery/8.jpg,783x1200,#,#,images/gallery/thumbnails/8.png,#,Art
#,#,https://www.youtube.com/embed/Y5PKfL5s0GY,<div class="wrapper"><div class="video-wrapper"><iframe width="1280" height="720" src="https://www.youtube.com/embed/Y5PKfL5s0GY" frameborder="0" allowfullscreen></iframe></div></div>,images/gallery/thumbnails/repressed.jpg,#,Art
#,#,https://player.vimeo.com/video/188789112,<div class="wrapper"><div class="video-wrapper"><iframe src="https://player.vimeo.com/video/188789112" width="640" height="360" frameborder="0" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe></div></div>,images/gallery/thumbnails/emoter.jpg,#,Art
images/gallery/9.jpg,1896x714,#,#,images/gallery/thumbnails/9.png,mural,Art
